word,polarity
poor,-1047.9587895330305
bad,-1044.2914106605017
hate,-1042.0384349140916
sick,-1038.2768381334638
missing,-1035.178114198096
sucks,-1033.47409420304
nothing,-1033.4156786561346
pissed,-1029.2831901464072
wrong,-1027.743708205808
poorly,-1026.9682192325622
cry,-1026.0673708950226
worse,-1025.4134033371126
depressed,-1024.9557039208303
horrible,-1022.7148888408159
worst,-1022.3116737201173
boring,-1022.0633807387086
problems,-1020.9411660257796
hurts,-1016.9986302719927
terrible,-1016.6511386194437
death,-1016.3675459789062
gorgeous,1016.1867647595652
broken,-1015.0748526202399
ruined,-1013.4697922899694
great,1013.4397881160249
crap,-1012.7415466519808
fantastic,1011.7470466018308
depressing,-1011.3850238792064
awful,-1010.4302934339385
adorable,1010.4285670113912
broke,-1009.5437687435067
bother,-1009.1341890180354
funny,1009.0550603178784
annoyed,-1008.2370963474323
happy,1007.7479800509733
fun,1006.9912539928672
awesome,1006.9383421576794
hard,-1006.7260221822671
shame,-1005.8809968597243
wonderful,1005.622439383302
good,1005.6101357124612
enjoy,1005.1001123922672
pretty,1004.9666796790445
enjoyed,1004.7260866007191
lovely,1004.4343597189658
cute,1004.2422716391824
beautiful,1003.7371493398748
haha,1001.6897488708802
disappointed,-1001.5073452641776
frustrating,-1001.0894858857012
difficult,-1000.9119996847069
cool,1000.6084612664467
appreciate,998.3340316402663
returned,-998.0566278071437
best,997.4801672737987
loving,997.0373228951036
love,996.9786063870814
amazing,996.319120210255
loved,996.0165799967764
proud,995.0503700347242
laughing,992.0764282893791
hope,989.1981929370517
favorite,988.8196313534538
nice,988.3133440124898
loves,985.3349109709889
excited,985.1232277123033
glad,982.6216189824287
better,969.6929908970221
heart,968.6902343715034
amazingly,80.86296136820707
:unamused_face:,-74.21576420187593
officially,-64.79717598296642
sad,-62.156484618694364
because,-61.24487199085292
duper,60.189397637259816
about,-59.199359554401305
your,58.04166204701268
awesomely,56.62800609695948
why,-56.07556726100313
:red_heart:,55.19741234652869
bit,-54.918725969566
tummy,-54.244075041122294
situation,-54.03440488084491
getting,-53.78000833338698
when,-52.38927742987459
cough,-52.30910381069089
shes,52.251101433472414
actress,52.02278912961442
ugh,-50.784656865861265
scenery,50.74154266637982
case,-50.552165905563626
ur,50.53510881500403
verrry,50.413365297698746
personality,50.17177196315402
singer,50.004779812547916
sometimes,-49.41918608818137
meeting,49.350074360715986
insanely,49.24738945073797
ve,-49.177278433912115
sinus,-49.15058381989848
creatures,49.13122435135824
headache,-49.11139026516391
school,-48.60254162298662
now,-48.2937427731381
beaches,48.27655864231856
decision,-48.24308337919331
stomach,-48.19956758300777
get,-48.04117204823787
or,-47.64633582167921
want,-47.438825907862245
after,-47.25147760070965
na,-47.03990462833953
wish,-46.47918100880186
atm,-46.19773705686185
throat,-45.85657503931806
got,-45.14123998923837
meal,45.10964219904491
particularly,45.002658467544414
chatting,44.85025727928947
headaches,-44.82687777892933
:laughing:,44.53582625741027
cramps,-44.40605803151008
@USER,44.33070583155091
at,-44.11070694991229
evening,43.66724791051297
seriously,-43.5889876139468
less,-43.5338166436455
inspirational,42.96406718931602
darn,42.89734929695014
slightly,-42.729001450307315
never,-42.51208336393392
smh,-42.466238626102545
gets,-42.25302603641042
compliment,41.918725207957166
extremly,41.91146834243775
wah,-41.90206035488654
dancers,41.41373359599269
from,-41.35740944930027
ankle,-41.20500524181899
tender,40.93349318587722
equally,40.91327280457831
supporter,40.8958265473704
compared,-40.75661111998108
cold,-40.751293826472995
think,-40.38879774876343
clients,40.356919922577546
coz,-40.32049740097989
thanks,40.28828143844832
lately,-40.15375698145499
pain,-40.13666277097772
surprisingly,40.12600151618954
gift,40.08833049326594
shit,-40.07410758501665
:frowning_face:,-40.02033507846437
dayy,40.0181042580911
dont,-39.90389784410307
authors,39.85469555792619
truly,39.79175377358505
fml,-39.716847328087276
madd,39.64638849544981
kinda,-39.57043229604959
actor,39.501509050098335
girlll,39.43577010834607
again,-39.20406859949941
conversation,38.860728024368676
before,-38.68144336293908
abit,-38.59984931801364
right,-38.57490336229504
truely,38.42676637207746
crying,-38.403675013169334
majorly,-38.265475117351286
down,-38.26487422984596
surprise,38.25750122765959
through,-38.18257636394332
migraine,-37.95051476567884
off,-37.870480783239806
horribly,-37.76328685955662
convo,37.64688426373419
ear,-37.44648347613788
holiday,37.32114501845718
hangover,-37.252575472308244
car,-37.22151607988539
cause,-37.17062635123143
sickness,-37.17031231579066
wtf,-37.1376411865021
singers,37.05634223985162
proper,-36.765769347720514
atmosphere,36.59673083800829
skin,-36.57220984077948
somewhat,36.507546654597554
trying,-36.40235432039235
since,-36.17796772035943
prettty,36.118499926608244
feel,-35.871614538383305
lady,35.86641647611541
theyre,35.79195319361622
almost,-35.77460324134462
going,-35.75647173859167
already,-35.672204457016754
follower,35.587123360990624
know,-35.48360854037422
voices,35.21877048954079
child,-35.15016686152895
rain,-34.95065870987437
habit,-34.863583324709744
see,-34.81417925940481
fever,-34.75191665439241
our,34.74294652429326
